City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,husavik,50.56,-96.99,10.0,69,17,4.0,CA,1573427941
1,hobart,-42.88,147.33,61.0,54,100,10.29,AU,1573427819
2,castro,-42.48,-73.76,59.0,72,99,6.93,CL,1573427737
3,mahebourg,-20.41,57.7,71.01,94,40,8.05,MU,1573427930
4,hermanus,-34.42,19.24,66.0,86,63,11.99,ZA,1573428060
5,verkhniy landekh,56.84,42.6,37.87,96,100,10.85,RU,1573428060
6,margate,-43.03,147.26,61.0,54,100,10.29,AU,1573427989
7,puerto ayora,-0.74,-90.35,75.2,69,40,4.7,EC,1573427925
8,scottsbluff,41.87,-103.67,32.0,86,90,25.28,US,1573427807
9,yulara,-25.24,130.99,77.0,7,42,5.82,AU,1573427919
10,novosibirsk,55.03,82.92,1.4,91,40,4.47,RU,1573428061
11,sambava,-14.27,50.17,68.49,92,100,2.57,MG,1573428061
12,qaanaaq,77.48,-69.36,-0.73,37,0,5.32,GL,1573427886
13,kapaa,22.08,-159.32,82.4,69,75,8.05,US,1573427860
14,lavrentiya,65.58,-170.99,34.63,89,100,12.64,RU,1573427884
15,emirdag,39.02,31.15,48.0,42,29,2.93,TR,1573428062
16,cape town,-33.93,18.42,66.99,77,21,8.05,ZA,1573427767
17,nikolskoye,59.7,30.79,45.0,87,75,2.24,RU,1573427872
18,sechura,-5.56,-80.82,65.55,85,54,11.16,PE,1573428063
19,ponta do sol,-20.63,-46.0,70.9,83,94,4.76,BR,1573427973
20,saint-andre-avellin,45.72,-75.07,34.0,86,90,9.17,CA,1573428041
21,mataura,-46.19,168.86,52.0,64,100,10.0,NZ,1573427857
22,bethel,60.79,-161.76,42.8,86,1,9.17,US,1573427927
23,hilo,19.71,-155.08,87.8,55,40,8.05,US,1573427717
24,bluff,-23.58,149.07,84.58,14,48,9.82,AU,1573428037
25,saint george,39.45,22.34,53.6,93,0,6.93,GR,1573427923
26,busselton,-33.64,115.35,62.01,49,0,11.34,AU,1573427903
27,hannibal,39.71,-91.36,51.8,53,1,4.7,US,1573428065
28,port elizabeth,39.31,-74.98,53.6,61,1,3.36,US,1573427931
29,barrow,-38.31,-60.23,54.5,83,69,14.34,AR,1573427872
30,mar del plata,-46.43,-67.52,51.67,78,27,10.92,AR,1573427915
31,port blair,11.67,92.75,81.36,70,0,2.01,IN,1573428066
32,rikitea,-23.12,-134.97,74.41,81,99,11.34,PF,1573427862
33,dwarahat,29.78,79.43,48.07,48,78,4.05,IN,1573428066
34,saint-joseph,43.56,6.97,57.2,81,100,6.93,FR,1573428066
35,hithadhoo,-0.6,73.08,82.67,71,90,7.85,MV,1573428066
36,bredasdorp,-34.53,20.04,66.0,82,100,13.87,ZA,1573427875
