City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current status,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
0,puerto ayora,-0.74,-90.35,70.0,87,5,9.69,clear sky,0.0,0.0
1,bredasdorp,-34.53,20.04,69.8,68,99,13.87,overcast clouds,0.0,0.0
2,tabas,33.6,56.92,59.0,19,0,2.24,clear sky,0.0,0.0
3,atuona,-9.8,-139.03,80.64,67,59,9.42,broken clouds,0.0,0.0
4,dikson,73.51,80.55,9.37,95,66,7.81,broken clouds,0.0,0.0
5,east london,-33.02,27.91,64.4,100,90,17.22,light intensity drizzle,0.0,0.0
6,albany,42.65,-73.75,41.0,64,90,1.48,overcast clouds,0.0,0.0
7,pevek,69.7,170.27,14.43,66,49,0.67,scattered clouds,0.0,0.0
8,longyearbyen,78.22,15.63,21.2,79,75,3.36,light snow,0.0,0.0
9,laguna,16.17,-88.94,73.4,100,75,4.7,light intensity drizzle,0.0,0.0
10,chapais,49.78,-74.86,1.4,84,1,3.36,clear sky,0.0,0.0
11,punta arenas,-53.16,-70.91,46.4,87,75,8.05,broken clouds,0.0,0.0
12,niteroi,-29.95,-51.16,66.99,100,75,8.05,broken clouds,0.0,0.0
13,itoman,26.12,127.67,75.2,57,20,16.11,few clouds,0.0,0.0
14,luderitz,-26.65,15.16,66.2,68,0,3.36,clear sky,0.0,0.0
15,raudeberg,61.99,5.14,30.2,68,20,10.29,few clouds,0.0,0.0
16,saint george,39.45,22.34,57.2,67,20,5.82,few clouds,0.0,0.0
17,hermanus,-34.42,19.24,69.01,80,94,8.01,moderate rain,3.25,0.0
18,haines junction,60.75,-137.51,2.48,50,0,1.5,clear sky,0.0,0.0
19,mar del plata,-46.43,-67.52,52.23,75,18,3.13,few clouds,0.0,0.0
20,manuk mangkaw,4.8,119.85,83.62,73,6,2.06,light rain,0.44,0.0
21,biltine,14.53,20.93,75.16,18,0,15.82,clear sky,0.0,0.0
22,chokurdakh,70.62,147.9,3.85,92,100,4.72,overcast clouds,0.0,0.0
23,pisco,-13.71,-76.2,63.0,88,99,3.36,smoke,0.0,0.0
24,rikitea,-23.12,-134.97,73.99,85,93,20.33,light rain,0.63,0.0
25,faya,18.39,42.45,68.0,36,0,6.93,clear sky,0.0,0.0
26,weligama,5.97,80.42,88.95,55,49,4.16,scattered clouds,0.0,0.0
27,opuwo,-18.06,13.84,71.1,70,100,3.47,overcast clouds,0.0,0.0
28,faanui,-16.48,-151.75,80.56,72,100,9.31,moderate rain,4.44,0.0
29,arraial do cabo,-22.97,-42.02,74.17,92,89,4.25,overcast clouds,0.0,0.0
30,maningrida,-12.05,134.23,89.56,43,14,13.33,few clouds,0.0,0.0
31,qaanaaq,77.48,-69.36,2.39,44,0,4.72,clear sky,0.0,0.0
32,kabanjahe,3.1,98.49,84.2,94,75,10.29,broken clouds,0.0,0.0
33,huanren,41.26,125.37,46.33,52,1,7.61,clear sky,0.0,0.0
34,juneau,58.3,-134.42,32.0,92,75,2.51,broken clouds,0.0,0.0
35,nyimba,-14.56,30.81,83.73,44,5,9.78,clear sky,0.0,0.0
36,nikolskoye,59.7,30.79,43.0,93,90,6.71,overcast clouds,0.0,0.0
37,mataura,-46.19,168.86,50.0,64,87,8.01,overcast clouds,0.0,0.0
38,hamilton,43.26,-79.87,33.01,93,90,6.93,overcast clouds,0.0,0.0
39,iqaluit,63.75,-68.52,12.2,85,90,9.17,light snow,0.0,0.0
40,khatanga,71.98,102.47,-2.85,98,100,6.71,light snow,0.0,0.19
